term,replacement
monoton,monoton
becus,becus
imortal,imortal
peringkat,peringkat
inget,ingat
dek,dek
master,master
warior,warrior
pus,push
pubg,pubg
tdk,tidak
begus,becus
trick,trik
minggu,minggu
rabu,rabu
bacot,bacot
adasistem,sistem
keliatanketara,lihat
sistembanyak,sistem
streakpermainan,streak
akalgame,game
anak,anak
umur,umur
baguss,bagus
gampangin,gampang
sihtolong,tolong
bagusin,bagus
colektor,kolektor
anehbanyak,aneh
streakjadi,streak
permudlah,mudah
berita,berita
kasar,kasar
cumantolonglah,cuma
sekalimenang,sekali
berkali,kali
doank,doang
nyakita,kita
jajan,jajan
gametaunya,game
siasia,sia
promo,promo
dm,dm
misi,misi
pemberitahuan,berita
invalid,invalid
lumaya,lumayan
bugnya,bug
connec,connect
dipake,dipake
lemebek,lembek
lnny,lain
uang,uang
peti,peti
dapay,dapat
triall,trial
card,card
mtiych,mythic
draksistem,darksistem
setidak,tidak
selevel,level
steara,setara
lostrik,losestreak
truskalau,kalau
dibenahi,benah
serah,serah
degar,dengar
silakan,silahkan
kalok,kalau
patahlag,patah
drop,drop
total,total
begadang,gadang
ujungujungnya,ujung
harihari,hari
garagara,gara
roam,roam
ketidak,tidak
setuju,setuju
rumput,rumput
ayolah,ayo
perbagus,bagus
gtu²,gitu
kalaumau,kalau
melulu,melu
defeeat,defeat
salama,salama
lawa,lawan
lahrank,rank
mytik,mythic
immortal,immortal
logika,logika
sadis,sadis
kumpul,kumpul
rangked,rank
kemenagan,menang
nob,noob
koneksi,koneksi
give,give
gt,gitu
dl,dulu
sepele,sepele
dengerin,dengar
keluhanya,keluh
dajjal,dajjal
laknat,laknat
kafir,kafir
matchnya,match
tungguin,tunggu
botbukan,bot
org,orang
maksudasli,maksud
legendudah,legend
like,like
charisma,charisma
gaje,gajelas
harepan,harapan
monnton,moonton
feder,feed
langgar,langgar
pebaiki,baik
kelas,kelas
email,email
semulaemail,mula
nmr,nomor
dlltetapi,tetap
aktif,aktif
kode,kode
sayasaya,saya
bagustapi,bagus
ribuan,ribu
ratusan,ratus
pokonya,pokok
bisakan,bisa
hukum,hukum
setimpal,timpal
insyarat,isyarat
reportnya,report
ngomong,ngomong
ngetik,ketik
ngereport,report
ngefeed,feed
respon,respon
perbaikilah,baik
dagang,dagang
dululah,dulu
buruh,buruk
maytik,mythic
strike,streak
akhir²,akhir
jumping,jumping
fixing,fix
layak,layak
dimain,main
random,random
begituan,gitu
cheater,cheater
ditiap,tiap
spt,seperti
duluseolah,dulu
permainanketika,main
username,username
rapi,rapi
namanyafix,fix
beruntun,runtun
sll,selalu
feedmoonton,feed
ngacak,acak
soloketemu,solo
trollgw,troll
seharian,hari
solodan,solo
kapok,kapok
